first_name,last_name,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,result,technical
Benjamina,Ebuehi,23,Teaching assistant,South London,7,4,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,STAR BAKER,1
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,4,Yorkshire Wellingtons,Two-Way Peanut Butter Churros,IN,2
Jane,Beedle,61,Garden designer,Beckenham,7,4,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,IN,3
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,4,Christmas Dinner Compromise,Hot Cross Bunny Churros,OUT,7
Lee,Banfield,67,Pastor,Bolton,7,4,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,4,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,4,NA,NA,NA,NA
Rav,Bansal,28,Student support,Erith,7,4,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,IN,9
Selasi,Gbormittah,30,Client service associate,London,7,4,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,IN,8
Tom,Gilliford,26,Project engagement manager,Rochdale,7,4,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,IN,5
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,4,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,IN,6
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,5,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,IN,6
Benjamina,Ebuehi,23,Teaching assistant,South London,7,5,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,IN,5
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,5,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",STAR BAKER,2
Jane,Beedle,61,Garden designer,Beckenham,7,5,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",IN,1
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,5,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,5,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,5,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,5,NA,NA,NA,NA
Rav,Bansal,28,Student support,Erith,7,5,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,IN,8
Selasi,Gbormittah,30,Client service associate,London,7,5,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",IN,3
Tom,Gilliford,26,Project engagement manager,Rochdale,7,5,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,IN,4
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,5,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",OUT,7
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,6,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,IN,6
Benjamina,Ebuehi,23,Teaching assistant,South London,7,6,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,IN,2
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,6,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,IN,5
Jane,Beedle,61,Garden designer,Beckenham,7,6,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,IN,4
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,6,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,6,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,6,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,6,NA,NA,NA,NA
Rav,Bansal,28,Student support,Erith,7,6,Mandarin Margarita Meringue Pie,Blossom Cake,OUT,3
Selasi,Gbormittah,30,Client service associate,London,7,6,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,IN,7
Tom,Gilliford,26,Project engagement manager,Rochdale,7,6,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake,STAR BAKER,1
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,6,NA,NA,NA,NA
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,7,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,STAR BAKER,1
Benjamina,Ebuehi,23,Teaching assistant,South London,7,7,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,IN,3
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,7,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,IN,2
Jane,Beedle,61,Garden designer,Beckenham,7,7,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",IN,4
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,7,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,7,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,7,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,7,NA,NA,NA,NA
Rav,Bansal,28,Student support,Erith,7,7,NA,NA,NA,NA
Selasi,Gbormittah,30,Client service associate,London,7,7,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",IN,6
Tom,Gilliford,26,Project engagement manager,Rochdale,7,7,Millionaire's Roulade,Hipster Picnic,OUT,5
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,7,NA,NA,NA,NA
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,8,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,IN,2
Benjamina,Ebuehi,23,Teaching assistant,South London,7,8,Mexican Adventure,Tudor Garden,OUT,4
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,8,Cheesy Cheeky Fish Pies,Peacock,STAR BAKER,1
Jane,Beedle,61,Garden designer,Beckenham,7,8,Tudor Rose Pies,Swans,IN,5
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,8,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,8,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,8,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,8,NA,NA,NA,NA
Rav,Bansal,28,Student support,Erith,7,8,NA,NA,NA,NA
Selasi,Gbormittah,30,Client service associate,London,7,8,Bouquet of Flowers,Fruity Tudor Marchpane,IN,3
Tom,Gilliford,26,Project engagement manager,Rochdale,7,8,NA,NA,NA,NA
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,8,NA,NA,NA,NA
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,9,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,STAR BAKER,2
Benjamina,Ebuehi,23,Teaching assistant,South London,7,9,NA,NA,NA,NA
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,9,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,IN,3
Jane,Beedle,61,Garden designer,Beckenham,7,9,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,IN,1
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,9,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,9,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,9,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,9,NA,NA,NA,NA
Rav,Bansal,28,Student support,Erith,7,9,NA,NA,NA,NA
Selasi,Gbormittah,30,Client service associate,London,7,9,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,OUT,4
Tom,Gilliford,26,Project engagement manager,Rochdale,7,9,NA,NA,NA,NA
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,9,NA,NA,NA,NA
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,10,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,Runner-up,1
Benjamina,Ebuehi,23,Teaching assistant,South London,7,10,NA,NA,NA,NA
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,10,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,WINNER,2
Jane,Beedle,61,Garden designer,Beckenham,7,10,"Red, White and Blue Meringue Crown",Family Favourites Feast,Runner-up,3
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,10,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,10,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,10,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,10,NA,NA,NA,NA
Rav,Bansal,28,Student support,Erith,7,10,NA,NA,NA,NA
Selasi,Gbormittah,30,Client service associate,London,7,10,NA,NA,NA,NA
Tom,Gilliford,26,Project engagement manager,Rochdale,7,10,NA,NA,NA,NA
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,10,NA,NA,NA,NA
Chris,Geiger,50,Software developer,Bristol,8,1,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,IN,12
Flo,Atkins,71,Retired,Merseyside,8,1,Citrus Layer Cake,'One in a Melon' Cake,IN,9
James,Hillery,46,Banker,"Brentwood, Essex",8,1,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake,IN,2
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,1,Courgette and Lemon Cake,'Russian Doll' Cake,IN,3
Kate,Lyon,29,Health and safety inspector,Merseyside,8,1,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake,IN,1
Liam,Charles,19,Student,North London,8,1,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake,IN,8
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,1,Coconut Cake,'Bread on a Breadboard' Cake,OUT,10
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,1,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake,IN,5
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,1,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake,IN,11
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,1,Bonfire Night Cake,'A Baker's Lunch' Cake,STAR BAKER,6
Tom,Hetherington,29,Architect,Edinburgh,8,1,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,IN,7
Yan,Tsou,46,Laboratory research scientist,North London,8,1,Windfall Apple Crumble Cake,'Banana-ramen' Cake,IN,4
Chris,Geiger,50,Software developer,Bristol,8,2,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,OUT,11
Flo,Atkins,71,Retired,Merseyside,8,2,Gin Jam Butties,'Pick My Bones' Game,IN,10
James,Hillery,46,Banker,"Brentwood, Essex",8,2,Rhubarb and Custard Whirls,'Coppit' Game,IN,3
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,2,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,IN,4
Kate,Lyon,29,Health and safety inspector,Merseyside,8,2,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game,IN,8
Liam,Charles,19,Student,North London,8,2,Coffee Malted Pecan Shorties,'Classroom Classics' Game,IN,7
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,2,NA,NA,NA,NA
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,2,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,IN,2
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,2,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,IN,9
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,2,Amarpressi Biscuits,'Check Bake' Game,STAR BAKER,6
Tom,Hetherington,29,Architect,Edinburgh,8,2,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,IN,5
Yan,Tsou,46,Laboratory research scientist,North London,8,2,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game,IN,1
Chris,Geiger,50,Software developer,Bristol,8,3,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,3,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,OUT,7
James,Hillery,46,Banker,"Brentwood, Essex",8,3,Nordic Teacakes,'Owl in the Woods' Bread Sculpture,IN,9
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,3,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,STAR BAKER,2
Kate,Lyon,29,Health and safety inspector,Merseyside,8,3,Blueberry Buns,'Kraken' Bread Sculpture,IN,10
Liam,Charles,19,Student,North London,8,3,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture,IN,5
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,3,NA,NA,NA,NA
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,3,Tagine Teacakes,'Picnic Basket' Bread Sculpture,IN,6
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,3,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,IN,1
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,3,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture,IN,3
Tom,Hetherington,29,Architect,Edinburgh,8,3,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture,IN,4
Yan,Tsou,46,Laboratory research scientist,North London,8,3,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,IN,8
Chris,Geiger,50,Software developer,Bristol,8,4,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,4,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,4,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake,IN,2
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,4,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake,IN,9
Kate,Lyon,29,Health and safety inspector,Merseyside,8,4,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,STAR BAKER,6
Liam,Charles,19,Student,North London,8,4,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake,IN,3
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,4,NA,NA,NA,NA
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,4,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,IN,4
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,4,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,IN,1
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,4,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,IN,7
Tom,Hetherington,29,Architect,Edinburgh,8,4,Stem Ginger Caramel Shortbreads,Hummingbird Cake,OUT,5
Yan,Tsou,46,Laboratory research scientist,North London,8,4,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake,IN,8
Chris,Geiger,50,Software developer,Bristol,8,5,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,5,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,5,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,OUT,7
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,5,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,IN,3
Kate,Lyon,29,Health and safety inspector,Merseyside,8,5,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine,IN,8
Liam,Charles,19,Student,North London,8,5,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine,IN,2
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,5,NA,NA,NA,NA
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,5,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",STAR BAKER,1
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,5,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,IN,4
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,5,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,IN,5
Tom,Hetherington,29,Architect,Edinburgh,8,5,NA,NA,NA,NA
Yan,Tsou,46,Laboratory research scientist,North London,8,5,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine,IN,6
Chris,Geiger,50,Software developer,Bristol,8,6,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,6,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,6,NA,NA,NA,NA
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,6,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,OUT,7
Kate,Lyon,29,Health and safety inspector,Merseyside,8,6,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze,IN,5
Liam,Charles,19,Student,North London,8,6,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,STAR BAKER,4
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,6,NA,NA,NA,NA
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,6,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,IN,2
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,6,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,IN,6
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,6,'Fleetwood Mac' Decorative Pies,Christmas Pie,IN,3
Tom,Hetherington,29,Architect,Edinburgh,8,6,NA,NA,NA,NA
Yan,Tsou,46,Laboratory research scientist,North London,8,6,'πr2' Decorative Pies,Chequerboard Pie,IN,1
Chris,Geiger,50,Software developer,Bristol,8,7,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,7,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,7,NA,NA,NA,NA
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,7,NA,NA,NA,NA
Kate,Lyon,29,Health and safety inspector,Merseyside,8,7,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle,IN,6
Liam,Charles,19,Student,North London,8,7,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle,IN,2
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,7,NA,NA,NA,NA
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,7,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,IN,3
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,7,My All Time Favourite Desserts,Pastry Surprise,IN,4
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,7,Italian Style Cannoli,'Sicilian-style' Sfogliatelle,STAR BAKER,1
Tom,Hetherington,29,Architect,Edinburgh,8,7,NA,NA,NA,NA
Yan,Tsou,46,Laboratory research scientist,North London,8,7,Cannoli Cocktails,Canadian-Style Sfogliatelle,OUT,5
Chris,Geiger,50,Software developer,Bristol,8,8,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,8,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,8,NA,NA,NA,NA
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,8,NA,NA,NA,NA
Kate,Lyon,29,Health and safety inspector,Merseyside,8,8,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake,IN,2
Liam,Charles,19,Student,North London,8,8,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake,OUT,5
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,8,NA,NA,NA,NA
